Meses;Codigo;Total;IPTS (%);PPT (%);Trafo(cu);Trafo(fe)
jul/21;AAA  0109;371,217;6,485;0,012;42,066;64,6
jul/21;AAA  0106;329,299;6,468;0,011;22,123;49,297
ago/21;AAA  0101;0;0;0;0;0
ago/21;AAA  0100;0;0;0;0;0
ago/21;AAA  0111;38,821;4,452;0,001;4,977;11,376
ago/21;AAA  0112;190,035;6,116;0,006;31,459;30,787
ago/21;AAA  0104;110,894;5,745;0,003;12,736;23,168
ago/21;AAA  0103;111,822;4,773;0,004;16,039;26,213
ago/21;AAA  0110;104,024;5,03;0,003;11,184;28,406
ago/21;AAA  0108;136,317;4,929;0,004;17,441;33,123
ago/21;AAA  0113;142,926;4,899;0,004;13,642;29,44
ago/21;AAA  0102;209,88;6,261;0,007;25,067;33,74
ago/21;AAA  0105;164,86;5,273;0,005;19,587;37,341
ago/21;AAA  0114;210,381;5,755;0,007;21,395;34,801
ago/21;AAA  0115;283,357;6,449;0,009;32,832;44,755
ago/21;AAA  0107;379,729;7,212;0,012;26,225;45,298
ago/21;AAA  0109;373,815;6,378;0,012;45,149;64,6
ago/21;AAA  0106;332,533;6,53;0,01;23,332;49,297
set/21;AAA  0101;0;0;0;0;0
set/21;AAA  0100;0;0;0;0;0
set/21;AAA  0111;35,691;4,259;0,001;4,859;11,009
set/21;AAA  0112;189,606;6,037;0,006;32,286;29,923
set/21;AAA  0104;105,533;5,59;0,003;11,665;22,5
set/21;AAA  0103;109,758;4,788;0,004;16,727;25,367
set/21;AAA  0110;98,394;4,957;0,003;10,319;27,49
set/21;AAA  0108;133,735;4,931;0,004;15,958;32,638
set/21;AAA  0113;134,331;4,804;0,004;12,909;28,49
set/21;AAA  0102;212,18;6,372;0,007;26,048;32,652
set/21;AAA  0105;140,87;4,542;0,005;12,66;36,137
set/21;AAA  0114;211,452;5,872;0,007;21,873;33,678
set/21;AAA  0115;267,179;6,104;0,009;31,947;43,668
set/21;AAA  0107;353,292;6,734;0,011;18,787;43,837
set/21;AAA  0109;372,764;6,45;0,012;44,5;62,516
set/21;AAA  0106;315,192;6,493;0,01;22,381;47,707
out/21;AAA  0115;263,373;5,894;0,008;30,625;45,124
out/21;AAA  0114;213,502;5,804;0,007;19,958;34,801
out/21;AAA  0113;138,636;4,822;0,004;11,962;29,44
out/21;AAA  0112;174,667;5,546;0,005;23,767;30,921
out/21;AAA  0111;40,797;4,649;0,001;4,572;11,376
out/21;AAA  0110;103,029;4,645;0,003;10,348;28,406
out/21;AAA  0109;366,433;6,332;0,011;41,725;64,6
out/21;AAA  0108;139,687;4,863;0,004;14,921;33,726
